Soil.layer,Landuse,SOC_yi,SOC_vi,LI_yi,LI_vi
topsoil,Cropland,11.6746645,0.503475299,10.68358344,0.501252086
topsoil,Cropland,18.39159917,0.673324908,2.071156824,0.501252086
topsoil,Cropland,20.310715,0.700716409,-11.05521686,0.501252086
topsoil,Cropland,49.41741482,0.587778478,-31.48152404,0.501252086
topsoil,Cropland,11.6746645,0.503475299,-30.83911757,0.501252086
topsoil,Cropland,18.39159917,0.673324908,12.63685768,0.501252086
topsoil,Cropland,20.310715,0.700716409,-47.4271195,0.501252086
topsoil,Cropland,49.41741482,0.587778478,-33.6539112,0.501252086
topsoil,Cropland,11.6746645,0.503475299,-45.61191561,0.501252086
topsoil,Cropland,18.39159917,0.673324908,-20.56995986,0.501252086
topsoil,Cropland,20.310715,0.700716409,-17.4359693,0.501252086
topsoil,Cropland,49.41741482,0.587778478,-57.14117006,0.501252086
topsoil,Cropland,-2.050595867,0.562388198,15.62398472,0.501252086
topsoil,Cropland,7.053571028,0.42155174,-41.10579787,0.501252086
topsoil,Cropland,9.219675755,0.473190025,9.932900695,0.501252086
topsoil,Cropland,11.79910664,0.389355527,32.78684176,0.501252086
topsoil,Cropland,-2.050595867,0.562388198,4.854134174,0.501252086
topsoil,Cropland,7.053571028,0.42155174,26.08690948,0.501252086
topsoil,Cropland,9.219675755,0.473190025,22.85064128,0.501252086
topsoil,Cropland,11.79910664,0.389355527,-6.274510439,0.501252086
topsoil,Cropland,-2.050595867,0.562388198,33.56616139,0.501252086
topsoil,Cropland,7.053571028,0.42155174,10.65575865,0.501252086
topsoil,Cropland,9.219675755,0.473190025,-0.468897228,0.501252086
topsoil,Cropland,11.79910664,0.389355527,10.25216882,0.501252086
topsoil,Grassland,-57.52212467,0.357084734,141.103507,0.400801068
topsoil,Grassland,-60.99039956,0.54393438,152.2494536,0.400801068
subsoil,Grassland,-76.42060228,0.653249528,102.9753295,0.400801068
subsoil,Grassland,-86.76789601,2.19076248,53.28016842,0.400801068
subsoil,Grassland,-85.50891395,1.019059907,-10.77693423,0.400801068
topsoil,Cropland,8.426956684,2.750456068,571.1970728,0.400801068
subsoil,Cropland,-40.00000001,0.936489073,522.8997251,0.400801168
subsoil,Cropland,-49.99999792,4.093927334,56.25000006,0.400800867
subsoil,Cropland,188.5869526,0.156203371,379.8664509,0.668893768
subsoil,Cropland,85.32608461,0.170588337,99.90224838,0.668893869
subsoil,Cropland,201.0869643,0.173314416,195.7371225,0.668893869
subsoil,Cropland,307.6087002,0.223151313,172.1071664,0.668893869
subsoil,Cropland,73.38129629,0.609370353,365.2605457,0.668893869
subsoil,Cropland,100.7194223,0.733819657,307.6376553,0.668893869
subsoil,Cropland,284.8920741,0.723885173,267.694384,0.668893869
subsoil,Cropland,59.59595882,0.426464181,332.2580643,0.668893869
subsoil,Cropland,87.87878871,0.479993697,237.8814789,0.668893869
subsoil,Cropland,346.4646911,0.562804125,362.853386,0.668893869
topsoil,Cropland,47.31182521,0.490973846,567.1504595,0.668893869
