Ref,studysite,Case,Lon,Lat,Soil.layer,Climate_Name,Control,Var,yi,vi,se,Agenumber,Recovery.mode,MAT,MAP,Altitude,BD,pH,Sand,Silt,Clay,Vege,Purpose,biome
1,1,13,107.866625,36.283375,topsoil,Cold,Cropland,LI,0.101505345,0.005,0.070710678,1,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,1,14,107.866625,36.283375,topsoil,Cold,Cropland,LI,2.05E-02,0.005,0.070710678,1,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,1,15,107.866625,36.283375,topsoil,Cold,Cropland,LI,-0.117154423,0.005,0.070710678,1,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,2,16,107.866625,36.283375,topsoil,Cold,Cropland,LI,-0.378066755,0.005,0.070710678,5,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,2,17,107.866625,36.283375,topsoil,Cold,Cropland,LI,-0.368734766,0.005,0.070710678,5,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,2,18,107.866625,36.283375,topsoil,Cold,Cropland,LI,0.118998809,0.005,0.070710678,5,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,3,19,107.866625,36.283375,topsoil,Cold,Cropland,LI,-0.642969779,0.005,0.070710678,12,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,3,20,107.866625,36.283375,topsoil,Cold,Cropland,LI,-0.410285375,0.005,0.070710678,12,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,3,21,107.866625,36.283375,topsoil,Cold,Cropland,LI,-0.609025093,0.005,0.070710678,12,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,4,22,107.866625,36.283375,topsoil,Cold,Cropland,LI,-0.23029355,0.005,0.070710678,30,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,broadleaved,poplar,5
1,4,23,107.866625,36.283375,topsoil,Cold,Cropland,LI,-0.191596064,0.005,0.070710678,30,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,broadleaved,poplar,5
1,4,24,107.866625,36.283375,topsoil,Cold,Cropland,LI,-0.847258496,0.005,0.070710678,30,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,broadleaved,poplar,5
1,1,41,107.866625,36.283375,topsoil,Cold,Cropland,LI,0.145173229,0.005,0.070710678,1,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,1,42,107.866625,36.283375,topsoil,Cold,Cropland,LI,-0.529427536,0.005,0.070710678,1,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,1,43,107.866625,36.283375,topsoil,Cold,Cropland,LI,9.47E-02,0.005,0.070710678,1,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,2,44,107.866625,36.283375,topsoil,Cold,Cropland,LI,0.283574963,0.005,0.070710678,5,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,2,45,107.866625,36.283375,topsoil,Cold,Cropland,LI,4.74E-02,0.005,0.070710678,5,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,2,46,107.866625,36.283375,topsoil,Cold,Cropland,LI,0.231801241,0.005,0.070710678,5,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,3,47,107.866625,36.283375,topsoil,Cold,Cropland,LI,0.205799133,0.005,0.070710678,12,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,3,48,107.866625,36.283375,topsoil,Cold,Cropland,LI,-6.48E-02,0.005,0.070710678,12,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,3,49,107.866625,36.283375,topsoil,Cold,Cropland,LI,0.28942676,0.005,0.070710678,12,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,coniferous,Pinaceae,5
1,4,50,107.866625,36.283375,topsoil,Cold,Cropland,LI,0.101253923,0.005,0.070710678,30,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,broadleaved,poplar,5
1,4,51,107.866625,36.283375,topsoil,Cold,Cropland,LI,-4.70E-03,0.005,0.070710678,30,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,broadleaved,poplar,5
1,4,52,107.866625,36.283375,topsoil,Cold,Cropland,LI,9.76E-02,0.005,0.070710678,30,artificial,7.8,445,1225,1.3,8.5,27.62130737,61.44329834,23.7,broadleaved,poplar,5
4,1,11,106.400125,36.216625,topsoil,Cold,Grassland,LI,0.880056145,0.004,0.063245553,27,artificial,6.9,425,1974,1.283329926,8.266670227,25.25,47.45150146,22.07839966,broadleaved,environmentaltree,5
4,1,12,106.400125,36.216625,topsoil,Cold,Grassland,LI,0.925248307,0.004,0.063245552,27,artificial,6.9,425,1974,1.283329926,8.266670227,25.25,47.45150146,22.07839966,broadleaved,environmentaltree,5
4,1,13,106.400125,36.216625,subsoil,Cold,Grassland,LI,0.707914256,0.004,0.063245552,27,artificial,6.9,425,1974,1.343329926,8.366670227,21.25,46.81839905,22.43849945,broadleaved,environmentaltree,5
4,1,14,106.400125,36.216625,subsoil,Cold,Grassland,LI,0.427097227,0.004,0.063245552,27,artificial,6.9,425,1974,1.343329926,8.366670227,21.25,46.81839905,22.43849945,broadleaved,environmentaltree,5
4,1,15,106.400125,36.216625,subsoil,Cold,Grassland,LI,-0.114030595,0.004,0.063245551,27,artificial,6.9,425,1974,1.343329926,8.366670227,21.25,46.81839905,22.43849945,broadleaved,environmentaltree,5
4,1,26,106.400125,36.216625,topsoil,Cold,Cropland,LI,2.601636286,0.004,0.06324555,27,artificial,6.9,425,1974,1.283329926,8.266670227,25.25,47.45150146,22.07839966,broadleaved,environmentaltree,5
4,1,27,106.400125,36.216625,topsoil,Cold,Cropland,LI,1.903892608,0.004,0.063245553,27,artificial,6.9,425,1974,1.283329926,8.266670227,25.25,47.45150146,22.07839966,broadleaved,environmentaltree,5
4,1,28,106.400125,36.216625,subsoil,Cold,Cropland,LI,1.829215365,0.004000001,0.06324556,27,artificial,6.9,425,1974,1.343329926,8.366670227,21.25,46.81839905,22.43849945,broadleaved,environmentaltree,5
4,1,29,106.400125,36.216625,subsoil,Cold,Cropland,LI,2.019385744,0.004000002,0.063245568,27,artificial,6.9,425,1974,1.343329926,8.366670227,21.25,46.81839905,22.43849945,broadleaved,environmentaltree,5
4,1,30,106.400125,36.216625,subsoil,Cold,Cropland,LI,0.446287103,0.003999998,0.063245539,27,artificial,6.9,425,1974,1.343329926,8.366670227,21.25,46.81839905,22.43849945,broadleaved,environmentaltree,5
10,1,73,109.229375,36.778375,topsoil,Arid,Cropland,LI,2.219918401,0.006666667,0.081649659,13,artificial,8.8,510,1254,1.3,8.1,9.7,82.2,8.1,broadleaved,environmentaltree,3
10,1,74,109.229375,36.778375,topsoil,Arid,Cropland,LI,2.49261739,0.006666667,0.081649658,13,artificial,8.8,510,1254,1.3,8.1,9.7,82.2,8.1,broadleaved,environmentaltree,3
10,1,75,109.229375,36.778375,subsoil,Arid,Cropland,LI,1.568337652,0.006666666,0.081649656,13,artificial,8.8,510,1254,1.3,8.1,9.7,82.2,8.1,broadleaved,environmentaltree,3
10,1,76,109.229375,36.778375,subsoil,Arid,Cropland,LI,0.692658303,0.006666667,0.081649658,13,artificial,8.8,510,1254,1.3,8.1,9.7,82.2,8.1,broadleaved,environmentaltree,3
10,1,77,109.229375,36.778375,subsoil,Arid,Cropland,LI,1.084300774,0.006666667,0.081649658,13,artificial,8.8,510,1254,1.3,8.1,9.7,82.2,8.1,broadleaved,environmentaltree,3
10,1,78,109.229375,36.778375,subsoil,Arid,Cropland,LI,1.001025797,0.006666667,0.081649659,13,artificial,8.8,510,1254,1.3,8.1,9.7,82.2,8.1,broadleaved,environmentaltree,3
10,2,79,109.229375,36.778375,topsoil,Arid,Cropland,LI,2.714579656,0.006666667,0.081649659,28,artificial,8.8,510,1275,1.3,8.1,10.8,75.6,13.6,broadleaved,environmentaltree,3
10,2,80,109.229375,36.778375,topsoil,Arid,Cropland,LI,3.231969145,0.006666667,0.081649658,28,artificial,8.8,510,1275,1.3,8.1,10.8,75.6,13.6,broadleaved,environmentaltree,3
10,2,81,109.229375,36.778375,subsoil,Arid,Cropland,LI,2.529414332,0.006666666,0.081649656,28,artificial,8.8,510,1275,1.3,8.1,10.8,75.6,13.6,broadleaved,environmentaltree,3
10,2,82,109.229375,36.778375,subsoil,Arid,Cropland,LI,1.537427376,0.006666667,0.081649658,28,artificial,8.8,510,1275,1.3,8.1,10.8,75.6,13.6,broadleaved,environmentaltree,3
10,2,83,109.229375,36.778375,subsoil,Arid,Cropland,LI,1.405208494,0.006666667,0.081649658,28,artificial,8.8,510,1275,1.3,8.1,10.8,75.6,13.6,broadleaved,environmentaltree,3
10,2,84,109.229375,36.778375,subsoil,Arid,Cropland,LI,1.302081929,0.006666667,0.081649659,28,artificial,8.8,510,1275,1.3,8.1,10.8,75.6,13.6,broadleaved,environmentaltree,3
