Soil.layer,number,estimate,ci.lb,ci.ub,filename
topsoil,852,0.209798697,0.131760192,0.287837203,CroplandP1.csv
topsoil,397,0.246234377,0.127268317,0.365200436,CroplandP2.csv
topsoil,187,0.076274618,-0.058271581,0.210820818,CroplandP3.csv
topsoil,349,0.075793217,-0.051203714,0.202790148,GrasslandP1.csv
topsoil,116,0.008586623,-0.171451207,0.188624453,GrasslandP2.csv
topsoil,97,-0.123910362,-0.421022278,0.173201553,GrasslandP3.csv
topsoil,318,-0.206799643,-0.348045108,-0.065554177,NaturalP1.csv
topsoil,225,-0.148151312,-0.306172541,0.009869916,NaturalP2.csv
topsoil,116,-0.035951397,-0.195531535,0.123628741,NaturalP3.csv
subsoil,588,0.060608679,-0.017688704,0.138906063,CroplandP1.csv
subsoil,256,0.198104577,0.078631859,0.317577294,CroplandP2.csv
subsoil,110,0.195906371,0.060431614,0.331381128,CroplandP3.csv
subsoil,126,-0.005963755,-0.133716249,0.121788739,GrasslandP1.csv
subsoil,57,0.039021157,-0.142000845,0.22004316,GrasslandP2.csv
subsoil,17,0.508503658,0.207871669,0.809135647,GrasslandP3.csv
subsoil,109,-0.253919159,-0.396367805,-0.111470514,NaturalP1.csv
subsoil,73,-0.102440585,-0.261659388,0.056778218,NaturalP2.csv
subsoil,44,-0.181440259,-0.343278809,-0.01960171,NaturalP3.csv
