Soil.layer,number,estimate,ci.lb,ci.ub,filename
topsoil,211,0.0990012102143241,-0.131943548988179,0.329945969416828,Cropland1.csv
topsoil,15,0.268709101211491,-0.530128196785907,1.06754639920889,Cropland2.csv
topsoil,580,0.262927158569043,0.123622322582907,0.40223199455518,Cropland3.csv
topsoil,42,-0.0430781306344857,-0.297162001080391,0.21100573981142,Cropland4.csv
topsoil,169,0.269532333290922,0.0453700981462609,0.493694568435584,Cropland5.csv
topsoil,226,0.11904534051708,-0.0233376987976378,0.261428379831798,Grassland1.csv
topsoil,38,0.0824097029578264,-0.0952182446496584,0.260037650565311,Grassland2.csv
topsoil,80,0.0673437572795255,-0.119122540403424,0.253810054962475,Grassland3.csv
topsoil,18,-0.489994714343772,-0.950626905678498,-0.0293625230090468,Grassland4.csv
topsoil,117,0.255933011309529,0.055010016510679,0.456856006108378,Grassland5.csv
topsoil,244,-0.201064868342718,-0.363607811516501,-0.0385219251689352,Natural1.csv
topsoil,16,-0.192094538323687,-0.542918013304728,0.158728936657353,Natural2.csv
topsoil,170,0.0131255004627354,-0.138483536238345,0.164734537163815,Natural3.csv
topsoil,76,-0.0428648477743253,-0.313048901871457,0.227319206322807,Natural5.csv
subsoil,54,-0.146538415820106,-0.378704774316662,0.0856279426764507,Cropland1.csv
subsoil,7,0.0926218974038061,-0.707357806458627,0.892601601266239,Cropland2.csv
subsoil,529,0.164570270409301,0.0251305329535483,0.304010007865053,Cropland3.csv
subsoil,48,-0.175487305926182,-0.430605111277695,0.0796304994253319,Cropland4.csv
subsoil,59,0.144624003902444,-0.0798353679982984,0.369083375803186,Cropland5.csv
subsoil,67,0.105203664948292,-0.0386725138921861,0.249079843788771,Grassland1.csv
subsoil,4,0.150849064569812,-0.0389715325201811,0.340669661659805,Grassland2.csv
subsoil,59,-0.0867841465609574,-0.273934553003557,0.100366259881642,Grassland3.csv
subsoil,8,0.0759089533503023,-0.387961278187159,0.539779184887763,Grassland4.csv
subsoil,48,0.332178283838945,0.130557640057261,0.533798927620629,Grassland5.csv
subsoil,104,-0.285422070249302,-0.449022023612607,-0.121822116885997,Natural1.csv
subsoil,4,-0.620297167800709,-0.977491973114731,-0.263102362486687,Natural2.csv
subsoil,50,-0.0173188394171953,-0.170707865998345,0.136070187163955,Natural3.csv
subsoil,19,0.142252591699816,-0.13014769967734,0.414652883076973,Natural5.csv
