Ref,studysite,Case,Xe,Sde,Ne,Xc,Sdc,Nc,Effect size for LI
1,1,13,1.256409849,0.125640985,4,1.135136584,0.113513658,4,0.101505345
1,1,14,1.153845787,0.115384579,4,1.130434431,0.113043443,4,2.05E-02
1,1,15,0.911129543,0.091112954,4,1.024376597,0.10243766,4,-0.117154423
1,2,16,0.777778288,0.077777829,4,1.135136584,0.113513658,4,-0.378066755
1,2,17,0.781818428,0.078181843,4,1.130434431,0.113043443,4,-0.368734766
1,2,18,1.15382561,0.115382561,4,1.024376597,0.10243766,4,0.118998809
1,3,19,0.596774,0.0596774,4,1.135136584,0.113513658,4,-0.642969779
1,3,20,0.749999031,0.074999903,4,1.130434431,0.113043443,4,-0.410285375
1,3,21,0.557138808,0.055713881,4,1.024376597,0.10243766,4,-0.609025093
1,4,22,0.901639444,0.090163944,4,1.135136584,0.113513658,4,-0.23029355
1,4,23,0.933332231,0.093333223,4,1.130434431,0.113043443,4,-0.191596064
1,4,24,0.439035824,0.043903582,4,1.024376597,0.10243766,4,-0.847258496
1,1,41,1.306121868,0.130612187,4,1.129628832,0.112962883,4,0.145173229
1,1,42,0.769231916,0.076923192,4,1.306125031,0.130612503,4,-0.529427536
1,1,43,1.053572368,0.105357237,4,0.958343828,0.095834383,4,9.47E-02
1,2,44,1.49999845,0.149999845,4,1.129628832,0.112962883,4,0.283574963
1,2,45,1.369567415,0.136956742,4,1.306125031,0.130612503,4,4.74E-02
1,2,46,1.208346115,0.120834612,4,0.958343828,0.095834383,4,0.231801241
1,3,47,1.387756264,0.138775626,4,1.129628832,0.112962883,4,0.205799133
1,3,48,1.224135074,0.122413507,4,1.306125031,0.130612503,4,-6.48E-02
1,3,49,1.280023064,0.128002306,4,0.958343828,0.095834383,4,0.28942676
1,4,50,1.249999354,0.124999935,4,1.129628832,0.112962883,4,0.101253923
1,4,51,1.3000031,0.13000031,4,1.306125031,0.130612503,4,-4.70E-03
1,4,52,1.056622204,0.10566222,4,0.958343828,0.095834383,4,9.76E-02
4,1,11,0.494245633,0.049424563,5,0.204993133,0.020499313,5,0.880056145
4,1,12,0.33169298,0.033169298,5,0.131494033,0.013149403,5,0.925248307
4,1,13,0.131349097,0.01313491,5,0.064711853,0.006471185,5,0.707914256
4,1,14,0.040801644,0.004080164,5,0.026618998,0.0026619,5,0.427097227
4,1,15,0.019928254,0.001992825,5,0.022335317,0.002233532,5,-0.114030595
4,1,26,0.494245633,0.049424563,5,0.036649374,0.003664937,5,2.601636286
4,1,27,0.33169298,0.033169298,5,0.049418121,0.004941812,5,1.903892608
4,1,28,0.131349097,0.01313491,5,0.021086716,0.002108672,5,1.829215365
4,1,29,0.040801644,0.004080164,5,0.005415887,0.000541589,5,2.019385744
4,1,30,0.019928254,0.001992825,5,0.012754083,0.001275408,5,0.446287103
10,1,73,2.114444444,0.211444444,3,0.229666667,0.022966667,3,2.219918401
10,1,74,0.761851852,0.076185185,3,0.063,0.0063,3,2.49261739
10,1,75,0.398571429,0.039857143,3,0.083058824,0.008305882,3,1.568337652
10,1,76,0.371818182,0.037181818,3,0.186,0.0186,3,0.692658303
10,1,77,0.37,0.037,3,0.125111111,0.012511111,3,1.084300774
10,1,78,0.37625,0.037625,3,0.138272727,0.013827273,3,1.001025797
10,3,79,3.467567568,0.346756757,3,0.229666667,0.022966667,3,2.714579656
10,3,80,1.595757576,0.159575758,3,0.063,0.0063,3,3.231969145
10,3,81,1.042068966,0.104206897,3,0.083058824,0.008305882,3,2.529414332
10,3,82,0.865384615,0.086538462,3,0.186,0.0186,3,1.537427376
10,3,83,0.51,0.051,3,0.125111111,0.012511111,3,1.405208494
10,3,84,0.508421053,0.050842105,3,0.138272727,0.013827273,3,1.302081929
10,4,85,3.666428571,0.366642857,3,0.229666667,0.022966667,3,2.770344344
10,4,86,1.424705882,0.142470588,3,0.063,0.0063,3,3.118585947
10,4,87,0.984615385,0.098461539,3,0.083058824,0.008305882,3,2.472702018
10,4,88,0.804,0.0804,3,0.186,0.0186,3,1.463852595
10,4,89,0.422727273,0.042272727,3,0.125111111,0.012511111,3,1.217524994
10,4,90,0.64,0.064,3,0.138272727,0.013827273,3,1.532240157
10,1,91,1.532222222,0.153222222,3,0.229666667,0.022966667,3,1.897845411
10,1,92,0.687647059,0.068764706,3,0.063,0.0063,3,2.39E+00
10,1,93,0.527894737,0.052789474,3,0.083058824,0.008305882,3,1.849347828
10,1,94,0.50875,0.050875,3,0.186,0.0186,3,1.006210063
