id,facet,group,N ,OR,Lower,Upper,Landuse,percentage
3,0-30cm,Active,2267,0.420773845,0.363653549,0.47789414,CroplandP1,52.31397738
3,0-30cm,Passive,996,0.130794556,0.073567157,0.188021955,CroplandP1,13.97336058
3,0-30cm,SOC,758,0.222895273,0.159130556,0.286659989,CroplandP1,24.96896906
3,0-30cm,Sensitivity,845,0.212271268,0.134155048,0.290387488,CroplandP1,23.64832579
4,30+cm,Active,1345,0.217136673,0.133378763,0.300894584,CroplandP1,24.25139086
4,30+cm,Passive,649,-0.017220411,-0.102023987,0.067583166,CroplandP1,-1.707298717
4,30+cm,SOC,508,0.120535891,0.032537322,0.20853446,CroplandP1,12.81012289
4,30+cm,Sensitivity,574,0.061278533,-0.017099785,0.139656851,CroplandP1,6.319500784
3,0-30cm,Active,1287,0.508896303,0.435237297,0.582555308,CroplandP2,66.3454232
3,0-30cm,Passive,489,0.602205962,0.528314126,0.676097798,CroplandP2,82.61427619
3,0-30cm,SOC,357,0.51531016,0.427253002,0.603367318,CroplandP2,67.4157678
3,0-30cm,Sensitivity,395,0.295950137,0.153465875,0.438434399,CroplandP2,34.44031192
4,30+cm,Active,837,0.372466207,0.258147645,0.486784768,CroplandP2,45.13094342
4,30+cm,Passive,310,0.251379253,0.134280293,0.368478212,CroplandP2,28.57976345
4,30+cm,SOC,173,0.250022824,0.124275362,0.375770286,CroplandP2,28.40547236
4,30+cm,Sensitivity,257,0.262329845,0.119426002,0.405233687,CroplandP2,29.99552555
3,0-30cm,Active,646,0.558530875,0.456830313,0.660231437,CroplandP3,74.81024319
3,0-30cm,Passive,298,0.489373506,0.386783289,0.591963724,CroplandP3,63.12939039
3,0-30cm,SOC,179,0.655746834,0.540235272,0.771258396,CroplandP3,92.65808163
3,0-30cm,Sensitivity,187,0.091457291,-0.046277747,0.229192329,CroplandP3,9.576997645
4,30+cm,Active,357,0.339291323,0.165105639,0.513477007,CroplandP3,40.39522892
4,30+cm,Passive,143,0.081298365,-0.097589525,0.260186255,CroplandP3,8.469448316
4,30+cm,SOC,72,0.286678853,0.089529839,0.483827866,CroplandP3,33.19963781
4,30+cm,Sensitivity,108,0.213737136,0.075052633,0.352421639,CroplandP3,23.82971083
3,0-30cm,Active,825,0.094187022,0.01098745,0.177386595,GrasslandP1,9.876521997
3,0-30cm,Passive,408,0.063522799,-0.021526409,0.148572008,GrasslandP1,6.558377977
3,0-30cm,SOC,269,0.098264333,0.004929138,0.191599529,GrasslandP1,10.32543731
3,0-30cm,Sensitivity,351,0.084335108,-0.041594652,0.210264868,GrasslandP1,8.799342803
4,30+cm,Active,293,0.045394194,-0.052167233,0.142955622,GrasslandP1,4.64402791
4,30+cm,Passive,156,0.146447147,0.041787599,0.251106695,GrasslandP1,15.77137406
4,30+cm,SOC,93,0.119869251,-0.001604873,0.241343376,GrasslandP1,12.73494421
