id,facet,group,N ,Landuse,OR,Lower,Upper
3,0-30cm,Active,2267,CroplandP1,52.31,43.86,61.27
3,0-30cm,Passive,996,CroplandP1,13.97,7.63,20.69
3,0-30cm,SOC,758,CroplandP1,24.97,17.25,33.2
3,0-30cm,Sensitivity,845,CroplandP1,23.65,14.36,33.69
4,30+cm,Active,1345,CroplandP1,24.25,14.27,35.11
4,30+cm,Passive,649,CroplandP1,-1.71,-9.7,6.99
4,30+cm,SOC,508,CroplandP1,12.81,3.31,23.19
4,30+cm,Sensitivity,574,CroplandP1,6.32,-1.7,14.99
3,0-30cm,Active,1287,CroplandP2,66.35,54.53,79.06
3,0-30cm,Passive,489,CroplandP2,82.61,69.61,96.62
3,0-30cm,SOC,357,CroplandP2,67.42,53.3,82.83
3,0-30cm,Sensitivity,395,CroplandP2,34.44,16.59,55.03
4,30+cm,Active,837,CroplandP2,45.13,29.45,62.71
4,30+cm,Passive,310,CroplandP2,28.58,14.37,44.55
4,30+cm,SOC,173,CroplandP2,28.41,13.23,45.61
4,30+cm,Sensitivity,257,CroplandP2,30,12.68,49.97
3,0-30cm,Active,646,CroplandP3,74.81,57.91,93.52
3,0-30cm,Passive,298,CroplandP3,63.13,47.22,80.75
3,0-30cm,SOC,179,CroplandP3,92.66,71.64,116.25
3,0-30cm,Sensitivity,187,CroplandP3,9.58,-4.52,25.76
4,30+cm,Active,357,CroplandP3,40.4,17.95,67.11
4,30+cm,Passive,143,CroplandP3,8.47,-9.3,29.72
4,30+cm,SOC,72,CroplandP3,33.2,9.37,62.23
4,30+cm,Sensitivity,108,CroplandP3,23.83,7.79,42.25
3,0-30cm,Active,825,GrasslandP1,9.88,1.1,19.41
3,0-30cm,Passive,408,GrasslandP1,6.56,-2.13,16.02
3,0-30cm,SOC,269,GrasslandP1,10.33,0.49,21.12
3,0-30cm,Sensitivity,351,GrasslandP1,8.8,-4.07,23.4
4,30+cm,Active,293,GrasslandP1,4.64,-5.08,15.37
4,30+cm,Passive,156,GrasslandP1,15.77,4.27,28.54
4,30+cm,SOC,93,GrasslandP1,12.73,-0.16,27.3
4,30+cm,Sensitivity,127,GrasslandP1,0.52,-11.44,14.09
3,0-30cm,Active,390,GrasslandP2,25.92,13.54,39.64
3,0-30cm,Passive,158,GrasslandP2,22.28,8.75,37.5
3,0-30cm,SOC,122,GrasslandP2,19.4,5.65,34.93
3,0-30cm,Sensitivity,118,GrasslandP2,2.16,-14.47,22.02
4,30+cm,Active,135,GrasslandP2,18.47,-1.2,42.06
4,30+cm,Passive,69,GrasslandP2,8.82,-10.71,32.62
4,30+cm,SOC,48,GrasslandP2,10.73,-10.23,36.6
4,30+cm,Sensitivity,58,GrasslandP2,5.55,-11.72,26.2
3,0-30cm,Active,369,GrasslandP3,22.14,6,40.75
3,0-30cm,Passive,153,GrasslandP3,8.3,-7.46,26.74
3,0-30cm,SOC,54,GrasslandP3,27.17,4.49,54.76
3,0-30cm,Sensitivity,97,GrasslandP3,-11.65,-34.36,18.91
4,30+cm,Active,47,GrasslandP3,8.36,-20.23,47.19
4,30+cm,Passive,25,GrasslandP3,-9.16,-35.51,27.95
4,30+cm,SOC,5,GrasslandP3,11.61,-38.53,102.67
4,30+cm,Sensitivity,17,GrasslandP3,66.28,23.11,124.6
3,0-30cm,Active,953,NaturalP1,-30.94,-38.54,-22.41
3,0-30cm,Passive,366,NaturalP1,-41.45,-47.9,-34.2
3,0-30cm,SOC,269,NaturalP1,-24.15,-32.52,-14.73
3,0-30cm,Sensitivity,318,NaturalP1,-18.68,-29.39,-6.35
4,30+cm,Active,333,NaturalP1,-27.36,-39.24,-13.16
4,30+cm,Passive,125,NaturalP1,-24.01,-36.56,-8.97
4,30+cm,SOC,88,NaturalP1,-15.87,-30.57,1.94
4,30+cm,Sensitivity,109,NaturalP1,-22.42,-32.72,-10.55
3,0-30cm,Active,770,NaturalP2,-29.87,-35.88,-23.29
3,0-30cm,Passive,301,NaturalP2,-14.1,-21.49,-6.02
3,0-30cm,SOC,205,NaturalP2,-5.77,-13.92,3.15
3,0-30cm,Sensitivity,226,NaturalP2,-15.62,-27.85,-1.32
4,30+cm,Active,272,NaturalP2,-20.08,-32.23,-5.74
4,30+cm,Passive,100,NaturalP2,-19.75,-32.2,-5.02
4,30+cm,SOC,67,NaturalP2,-22.31,-36,-5.69
4,30+cm,Sensitivity,73,NaturalP2,-12.68,-25.43,2.24
3,0-30cm,Active,438,NaturalP3,-29.32,-37.29,-20.33
3,0-30cm,Passive,162,NaturalP3,-28.41,-36.51,-19.29
3,0-30cm,SOC,93,NaturalP3,-18.52,-27.76,-8.09
3,0-30cm,Sensitivity,117,NaturalP3,-9.79,-22.59,5.12
4,30+cm,Active,173,NaturalP3,-28.96,-42.94,-11.55
4,30+cm,Passive,54,NaturalP3,-27.21,-41.9,-8.79
4,30+cm,SOC,18,NaturalP3,-20.13,-40.44,7.12
4,30+cm,Sensitivity,44,NaturalP3,-25.34,-36.08,-12.8
