id,soil layer,group,N ,Landuse,filename,OR,Lower,Upper
3,0-30cm,Active,3667,Cropland,artificial,58.34,49.63,67.55
3,0-30cm,Passive,1553,Cropland,artificial,25.16,18.26,32.46
3,0-30cm,SOC,1134,Cropland,artificial,53.67,44.65,63.26
3,0-30cm,LI,1308,Cropland,artificial,27.17,17.24,37.93
4,30+cm,Active,2325,Cropland,artificial,35.74,24.83,47.61
4,30+cm,Passive,1001,Cropland,artificial,4.31,-4.18,13.55
4,30+cm,SOC,693,Cropland,artificial,20.31,10.28,31.26
4,30+cm,LI,898,Cropland,artificial,13.02,4.18,22.6
3,0-30cm,Active,576,Cropland,natural,56.92,41.86,73.59
3,0-30cm,Passive,253,Cropland,natural,70.23,53.85,88.35
3,0-30cm,SOC,168,Cropland,natural,54.66,37.24,74.28
3,0-30cm,LI,194,Cropland,natural,5.86,-8.58,22.58
4,30+cm,Active,242,Cropland,natural,29.78,-0.26,68.86
4,30+cm,Passive,114,Cropland,natural,17.54,-9.75,53.09
4,30+cm,SOC,67,Cropland,natural,38.75,5.24,82.92
4,30+cm,LI,88,Cropland,natural,40.39,21.08,62.78
3,0-30cm,Active,1305,Grassland,artificial,14.94,6.83,23.67
3,0-30cm,Passive,606,Grassland,artificial,11.14,3.08,19.83
3,0-30cm,SOC,381,Grassland,artificial,12.98,4,22.74
3,0-30cm,LI,480,Grassland,artificial,3.7,-7.17,15.84
4,30+cm,Active,403,Grassland,artificial,-0.33,-12.32,13.3
4,30+cm,Passive,221,Grassland,artificial,6.28,-6.9,21.32
4,30+cm,SOC,119,Grassland,artificial,4.18,-9.88,20.44
4,30+cm,LI,185,Grassland,artificial,-0.69,-11.15,11
3,0-30cm,Active,299,Grassland,natural,23.07,2.78,47.36
3,0-30cm,Passive,122,Grassland,natural,13.41,-6.06,36.91
3,0-30cm,SOC,71,Grassland,natural,23.05,0.87,50.12
3,0-30cm,LI,110,Grassland,natural,5.46,-7.5,20.23
4,30+cm,Active,81,Grassland,natural,13.79,-8.5,41.51
4,30+cm,Passive,32,Grassland,natural,13.3,-12.1,46.03
4,30+cm,SOC,32,Grassland,natural,21.7,-6.66,58.67
4,30+cm,LI,28,Grassland,natural,20.88,5.7,38.23
3,0-30cm,Active,1881,Natural,artificial,-28.5,-34.13,-22.39
3,0-30cm,Passive,692,Natural,artificial,-27.88,-33.57,-21.71
3,0-30cm,SOC,490,Natural,artificial,-15.28,-21.97,-8
3,0-30cm,LI,574,Natural,artificial,-14.84,-23.83,-4.78
4,30+cm,Active,603,Natural,artificial,-28.79,-37.26,-19.17
4,30+cm,Passive,227,Natural,artificial,-19.93,-30.03,-8.38
4,30+cm,SOC,163,Natural,artificial,-20.92,-31.22,-9.07
4,30+cm,LI,188,Natural,artificial,-16.4,-25.28,-6.47
3,0-30cm,Active,311,Natural,natural,-19.09,-30.78,-5.43
3,0-30cm,Passive,149,Natural,natural,-18.2,-30.03,-4.36
3,0-30cm,SOC,79,Natural,natural,-17.76,-31.31,-1.53
3,0-30cm,LI,99,Natural,natural,-6.29,-23.14,14.24
4,30+cm,Active,192,Natural,natural,-16.12,-38.89,15.13
4,30+cm,Passive,56,Natural,natural,-16.37,-39.11,14.85
4,30+cm,SOC,13,Natural,natural,-16.03,-41.3,20.1
4,30+cm,LI,41,Natural,natural,-22.25,-36.4,-4.94
