id,facet,group,N ,Landuse,OR,Lower,Upper
3,0-30cm,Active,1134,Abandoned,28.63,12.75,46.74
3,0-30cm,Passive,357,Abandoned,24.17,8.76,41.76
3,0-30cm,SOC,274,Abandoned,28.67,11.97,47.85
3,0-30cm,Sensitivity,365,Abandoned,6.23,-8.77,23.7
4,30+cm,Active,755,Abandoned,-2.09,-24.31,26.65
4,30+cm,Passive,215,Abandoned,6.44,-17.88,37.96
4,30+cm,SOC,224,Abandoned,6.81,-17.67,38.58
4,30+cm,Sensitivity,240,Abandoned,-4.91,-18.36,10.76
3,0-30cm,Active,746,Bareland,141.82,100.79,191.24
3,0-30cm,Passive,256,Bareland,124.51,86.41,170.41
3,0-30cm,SOC,209,Bareland,112.11,74.72,157.51
3,0-30cm,Sensitivity,239,Bareland,19.6,-11.98,62.51
4,30+cm,Active,219,Bareland,77.18,47.42,112.95
4,30+cm,Passive,59,Bareland,32.76,10.44,59.59
4,30+cm,SOC,89,Bareland,64.87,33.95,102.93
4,30+cm,Sensitivity,59,Bareland,-3.4,-28.96,31.37
3,0-30cm,Active,4243,cropland,56.36,48.65,64.47
3,0-30cm,Passive,1806,cropland,31.73,25.22,38.57
3,0-30cm,SOC,1302,cropland,53,44.88,61.58
3,0-30cm,Sensitivity,1502,cropland,23.24,14.32,32.86
4,30+cm,Active,2567,cropland,32.72,22.71,43.56
4,30+cm,Passive,1115,cropland,7.14,-1.02,15.97
4,30+cm,SOC,760,cropland,20.96,11.48,31.24
4,30+cm,Sensitivity,986,cropland,13.58,5.34,22.47
3,0-30cm,Active,1604,Grassland,15.15,7.01,23.92
3,0-30cm,Passive,728,Grassland,10.84,2.8,19.51
3,0-30cm,SOC,452,Grassland,13.41,4.56,23.02
3,0-30cm,Sensitivity,590,Grassland,3.79,-6.06,14.67
4,30+cm,Active,484,Grassland,2.86,-8.89,16.12
4,30+cm,Passive,253,Grassland,9.12,-3.77,23.73
4,30+cm,SOC,151,Grassland,8.11,-5.6,23.81
4,30+cm,Sensitivity,213,Grassland,1.7,-8,12.42
3,0-30cm,Active,2192,Natural,-27.93,-33.26,-22.17
3,0-30cm,Passive,841,Natural,-27.28,-32.67,-21.46
3,0-30cm,SOC,569,Natural,-14.62,-20.97,-7.77
3,0-30cm,Sensitivity,673,Natural,-15.19,-23.58,-5.88
4,30+cm,Active,795,Natural,-25.34,-33.92,-15.64
4,30+cm,Passive,283,Natural,-23.66,-32.55,-13.61
4,30+cm,SOC,176,Natural,-20.02,-30.1,-8.49
4,30+cm,Sensitivity,229,Natural,-18.44,-26.56,-9.43
3,0-30cm,Active,303,Sandy,341.35,215.41,517.57
3,0-30cm,Passive,200,Sandy,270.03,162.12,422.36
3,0-30cm,SOC,187,Sandy,323.03,200.48,495.57
3,0-30cm,Sensitivity,156,Sandy,14.4,-25.37,75.38
4,30+cm,Active,90,Sandy,106.59,41.92,200.74
4,30+cm,Passive,45,Sandy,109.2,40.08,212.41
4,30+cm,SOC,44,Sandy,50.03,0.22,124.59
4,30+cm,Sensitivity,36,Sandy,-17.83,-46.47,26.13
